rownames,gender,ethnicity,birth,stark,star1,star2,star3,readk,read1,read2,read3,mathk,math1,math2,math3,lunchk,lunch1,lunch2,lunch3,schoolk,school1,school2,school3,degreek,degree1,degree2,degree3,ladderk,ladder1,ladder2,ladder3,experiencek,experience1,experience2,experience3,tethnicityk,tethnicity1,tethnicity2,tethnicity3,systemk,system1,system2,system3,schoolidk,schoolid1,schoolid2,schoolid3
27678,female,cauc,1980 Q2,regular,regular,regular,regular,433.0,564.0,669.0,702.0,528.0,572.0,699.0,678.0,free,free,free,free,rural,rural,rural,rural,bachelor,bachelor,master,master,level1,level1,apprentice,level1,4.0,12.0,1.0,18.0,cauc,cauc,cauc,cauc,15.0,15.0,15.0,15.0,39.0,39.0,39.0,39.0
27691,male,hispanic,1980 Q3,small,small,small,small,461.0,590.0,643.0,680.0,494.0,572.0,607.0,642.0,non-free,non-free,non-free,non-free,rural,rural,rural,rural,bachelor,bachelor,bachelor,bachelor,level1,level1,level1,probation,5.0,10.0,25.0,2.0,cauc,cauc,cauc,cauc,33.0,33.0,33.0,33.0,67.0,67.0,67.0,67.0
27708,female,cauc,1980 Q2,regular+aide,,,regular+aide,413.0,,,,463.0,,,,free,,,free,rural,,,rural,master,,,specialist,level1,,,level2,21.0,,,12.0,cauc,,,cauc,16.0,,,16.0,40.0,,,40.0
27725,female,afam,1980 Q2,regular,regular,regular+aide,,478.0,521.0,584.0,,559.0,507.0,607.0,,free,non-free,non-free,,inner-city,inner-city,inner-city,,bachelor,bachelor,bachelor,,level1,level1,level1,,12.0,27.0,35.0,,afam,cauc,afam,,11.0,11.0,11.0,,27.0,27.0,27.0,
27736,male,cauc,1979 Q4,,,regular,regular,,,588.0,610.0,,,620.0,642.0,,,non-free,non-free,,,rural,rural,,,bachelor,bachelor,,,level1,level1,,,18.0,24.0,,,cauc,cauc,,,5.0,5.0,,,7.0,7.0
27760,male,cauc,1980 Q1,small,,,,416.0,,,,494.0,,,,non-free,,,,suburban,,,,master,,,,level1,,,,20.0,,,,cauc,,,,11.0,,,,17.0,,,
27774,male,cauc,1980 Q2,regular,regular,regular,regular,450.0,533.0,659.0,647.0,468.0,653.0,648.0,678.0,non-free,non-free,non-free,non-free,rural,rural,rural,rural,bachelor,master,bachelor,master,level1,level1,level1,level1,13.0,9.0,19.0,11.0,cauc,cauc,cauc,cauc,38.0,38.0,38.0,38.0,74.0,74.0,74.0,74.0
27790,male,afam,1980 Q2,,regular,,,,,,,,,,,,free,,,,suburban,,,,bachelor,,,,apprentice,,,,2.0,,,,afam,,,,22.0,,,,52.0,,
27805,male,cauc,1980 Q2,small,small,small,small,463.0,524.0,586.0,686.0,528.0,592.0,615.0,691.0,non-free,non-free,non-free,non-free,suburban,suburban,suburban,suburban,master,bachelor,master,bachelor,level1,level1,apprentice,level1,18.0,18.0,15.0,5.0,cauc,cauc,afam,cauc,17.0,17.0,17.0,17.0,41.0,41.0,41.0,41.0
27816,female,afam,1979 Q4,,,small,small,,,,554.0,,,,541.0,,,free,free,,,inner-city,inner-city,,,bachelor,bachelor,,,level1,level1,,,14.0,8.0,,,cauc,cauc,,,11.0,11.0,,,32.0,32.0
27831,female,cauc,1979 Q4,,,,regular+aide,,,,647.0,,,,597.0,,,,non-free,,,,rural,,,,master,,,,level1,,,,15.0,,,,cauc,,,,24.0,,,,56.0
27853,female,cauc,1980 Q2,regular+aide,regular,small,small,433.0,497.0,604.0,575.0,484.0,520.0,632.0,606.0,non-free,non-free,non-free,non-free,rural,rural,rural,rural,master,bachelor,bachelor,bachelor,level1,level3,level1,level1,6.0,11.0,7.0,6.0,cauc,cauc,cauc,cauc,35.0,35.0,35.0,35.0,69.0,69.0,69.0,69.0
27868,female,afam,1980 Q2,,,small,small,,,627.0,610.0,,,590.0,648.0,,,free,non-free,,,suburban,suburban,,,master,bachelor,,,level1,probation,,,11.0,8.0,,,cauc,cauc,,,11.0,11.0,,,25.0,25.0
27884,male,afam,1980 Q2,regular+aide,regular,,,410.0,439.0,,,494.0,468.0,,,free,free,,,inner-city,inner-city,,,bachelor,bachelor,,,apprentice,,,,1.0,15.0,,,cauc,afam,,,11.0,11.0,,,19.0,19.0,,
27901,male,afam,1979 Q2,,,,regular+aide,,,,562.0,,,,577.0,,,,free,,,,suburban,,,,bachelor,,,,level1,,,,18.0,,,,cauc,,,,18.0,,,,44.0
27916,male,afam,1979 Q2,,regular+aide,regular+aide,regular+aide,,485.0,573.0,585.0,,535.0,607.0,629.0,,free,free,free,,inner-city,inner-city,inner-city,,master,master,master,,level1,level3,level1,,4.0,16.0,11.0,,cauc,cauc,afam,,11.0,11.0,11.0,,16.0,16.0,16.0
27932,male,afam,1980 Q2,,regular+aide,,,,514.0,,,,493.0,,,,free,,,,inner-city,,,,bachelor,,,,level1,,,,27.0,,,,afam,,,,11.0,,,,22.0,,
27953,male,cauc,1978 Q1,,regular+aide,regular,,,571.0,,,,538.0,,,,free,,,,suburban,suburban,,,bachelor,master,,,apprentice,level1,,,1.0,22.0,,,cauc,cauc,,,28.0,4.0,,,61.0,4.0,
27969,male,cauc,1979 Q1,,regular,regular,regular,,494.0,550.0,595.0,,518.0,572.0,616.0,,free,free,free,,rural,rural,rural,,bachelor,master,bachelor,,level1,level1,level1,,8.0,9.0,24.0,,cauc,cauc,cauc,,31.0,31.0,31.0,,65.0,65.0,65.0
27978,female,cauc,1979 Q3,,regular+aide,,,,590.0,,,,538.0,,,,free,,,,rural,,,,bachelor,,,,level1,,,,9.0,,,,cauc,,,,3.0,,,,3.0,,
28000,female,cauc,1980 Q1,regular,regular,regular,regular,448.0,507.0,549.0,597.0,500.0,532.0,541.0,,non-free,non-free,non-free,non-free,suburban,suburban,suburban,suburban,bachelor,bachelor,bachelor,bachelor,pending,probation,level1,level1,3.0,0.0,8.0,11.0,cauc,cauc,cauc,cauc,25.0,25.0,25.0,25.0,58.0,58.0,58.0,58.0
28014,female,cauc,1978 Q2,,regular,regular+aide,regular+aide,,495.0,566.0,,,518.0,561.0,,,free,free,free,,rural,rural,rural,,master,bachelor,bachelor,,level1,level1,level1,,5.0,33.0,7.0,,cauc,cauc,cauc,,39.0,39.0,39.0,,75.0,75.0,75.0
28030,female,afam,1980 Q2,regular,regular,regular,regular,448.0,478.0,,590.0,439.0,481.0,,586.0,free,free,free,free,inner-city,inner-city,inner-city,inner-city,master,bachelor,,bachelor,level1,probation,,probation,7.0,1.0,,0.0,cauc,afam,,cauc,11.0,11.0,11.0,11.0,28.0,28.0,28.0,28.0
28043,male,afam,1980 Q3,regular+aide,,,,439.0,,,,463.0,,,,non-free,,,,inner-city,,,,bachelor,,,,level1,,,,5.0,,,,afam,,,,11.0,,,,28.0,,,
28062,female,cauc,1980 Q2,,,regular,regular,,,,600.0,,,,604.0,,,non-free,non-free,,,inner-city,inner-city,,,master,master,,,level1,level1,,,13.0,19.0,,,cauc,afam,,,22.0,22.0,,,53.0,53.0
28070,male,hispanic,1979 Q4,,,regular+aide,,,,582.0,,,,632.0,,,,free,,,,rural,,,,bachelor,,,,level1,,,,34.0,,,,cauc,,,,29.0,,,,62.0,
28086,female,afam,1980 Q4,regular,regular,,,,471.0,,,,474.0,,,free,free,,,inner-city,inner-city,,,bachelor,bachelor,,,,probation,,,9.0,2.0,,,afam,afam,,,11.0,11.0,,,28.0,28.0,,
28112,female,afam,1980 Q1,,regular,,,,456.0,,,,441.0,,,,free,,,,suburban,,,,bachelor,,,,level1,,,,5.0,,,,afam,,,,11.0,,,,17.0,,
28126,female,cauc,1980 Q2,regular,regular,regular,regular,440.0,499.0,509.0,,459.0,529.0,530.0,,free,free,free,free,rural,rural,rural,rural,bachelor,bachelor,bachelor,bachelor,level1,notladder,notladder,level1,8.0,12.0,23.0,21.0,cauc,cauc,cauc,cauc,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
28143,female,afam,1980 Q1,,small,small,small,,553.0,622.0,657.0,,572.0,593.0,663.0,,free,free,free,,suburban,suburban,suburban,,bachelor,bachelor,master,,level1,apprentice,level1,,4.0,1.0,24.0,,cauc,cauc,afam,,22.0,22.0,22.0,,54.0,54.0,54.0
28155,female,afam,1980 Q3,small,,,regular,445.0,,,608.0,468.0,,,639.0,free,,,free,inner-city,,,suburban,master,,,bachelor,level1,,,level1,8.0,,,10.0,cauc,,,afam,11.0,,,11.0,28.0,,,23.0
28170,male,afam,1978 Q3,,,,regular,,,,631.0,,,,678.0,,,,free,,,,inner-city,,,,bachelor,,,,level1,,,,5.0,,,,afam,,,,11.0,,,,29.0
28182,male,afam,1979 Q4,,,,regular,,,,641.0,,,,659.0,,,,free,,,,suburban,,,,master,,,,level1,,,,19.0,,,,afam,,,,11.0,,,,17.0
28198,male,cauc,1979 Q4,regular,regular+aide,regular+aide,,437.0,,,,547.0,584.0,,,non-free,non-free,free,,rural,rural,rural,,bachelor,bachelor,master,,level1,level1,level1,,10.0,13.0,11.0,,cauc,cauc,cauc,,35.0,35.0,35.0,,70.0,70.0,70.0,
28214,male,afam,1979 Q4,,,,small,,,,680.0,,,,659.0,,,,free,,,,suburban,,,,master,,,,level1,,,,24.0,,,,afam,,,,11.0,,,,24.0
28234,female,cauc,1980 Q3,small,small,small,small,430.0,501.0,533.0,602.0,468.0,532.0,540.0,593.0,free,free,free,free,rural,rural,rural,rural,bachelor,bachelor,bachelor,master,level1,level1,,level1,6.0,7.0,0.0,12.0,cauc,cauc,cauc,cauc,34.0,34.0,34.0,34.0,68.0,68.0,68.0,68.0
28251,female,afam,1980 Q3,,regular,regular,regular,,454.0,518.0,,,458.0,502.0,,,free,free,,,inner-city,inner-city,inner-city,,bachelor,bachelor,bachelor,,apprentice,apprentice,notladder,,2.0,1.0,3.0,,cauc,cauc,cauc,,11.0,11.0,11.0,,30.0,30.0,30.0
28267,male,cauc,1979 Q3,,regular+aide,regular+aide,regular+aide,,571.0,582.0,593.0,,532.0,577.0,624.0,,free,free,free,,urban,urban,urban,,bachelor,bachelor,master,,level1,level2,level1,,7.0,12.0,19.0,,afam,cauc,cauc,,2.0,2.0,2.0,,2.0,2.0,2.0
28280,female,cauc,1979 Q4,small,small,,,405.0,442.0,,,484.0,481.0,,,free,free,,,rural,rural,,,master,bachelor,,,level1,level1,,,6.0,15.0,,,cauc,cauc,,,15.0,15.0,,,39.0,39.0,,
28305,female,afam,1980 Q1,,regular+aide,regular+aide,regular+aide,,503.0,542.0,565.0,,523.0,568.0,629.0,,free,free,free,,inner-city,inner-city,inner-city,,master,master,bachelor,,level2,level1,level1,,33.0,5.0,26.0,,afam,cauc,afam,,11.0,11.0,11.0,,16.0,16.0,16.0
28319,female,afam,1980 Q1,,,,small,,,,618.0,,,,,,,,non-free,,,,inner-city,,,,master,,,,level2,,,,9.0,,,,afam,,,,11.0,,,,27.0
28329,female,cauc,1979 Q3,,regular,regular,regular,,492.0,575.0,614.0,,542.0,565.0,596.0,,free,free,free,,rural,rural,rural,,master,bachelor,bachelor,,level1,notladder,level1,,9.0,13.0,22.0,,cauc,cauc,cauc,,6.0,6.0,6.0,,8.0,8.0,8.0
28347,female,afam,1980 Q3,,,,regular+aide,,,,654.0,,,,639.0,,,,free,,,,suburban,,,,bachelor,,,,level1,,,,14.0,,,,afam,,,,22.0,,,,51.0
28365,male,cauc,1980 Q2,regular,regular+aide,regular+aide,regular+aide,439.0,558.0,591.0,633.0,513.0,584.0,590.0,622.0,non-free,non-free,non-free,non-free,rural,rural,rural,rural,bachelor,master,bachelor,bachelor,,level2,level1,level1,5.0,10.0,13.0,30.0,cauc,cauc,cauc,cauc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28381,female,cauc,1980 Q2,,,regular,regular,,,604.0,647.0,,,599.0,616.0,,,free,free,,,suburban,suburban,,,bachelor,master,,,level1,notladder,,,3.0,14.0,,,afam,afam,,,18.0,18.0,,,44.0,44.0
28402,,,,,regular+aide,,,,,,,,,,,,,,,,rural,,,,bachelor,,,,level3,,,,16.0,,,,cauc,,,,35.0,,,,69.0,,
28411,female,cauc,1980 Q3,,regular,regular,regular,,524.0,614.0,608.0,,538.0,593.0,608.0,,non-free,non-free,non-free,,rural,rural,rural,,master,master,bachelor,,level1,level1,level1,,2.0,12.0,5.0,,cauc,cauc,cauc,,1.0,1.0,1.0,,1.0,1.0,1.0
28432,female,afam,1979 Q1,,,,regular,,,,602.0,,,,606.0,,,,,,,,inner-city,,,,bachelor,,,,probation,,,,2.0,,,,cauc,,,,11.0,,,,29.0
28444,male,cauc,1980 Q2,regular+aide,regular,regular,regular,430.0,544.0,584.0,644.0,500.0,520.0,582.0,610.0,free,free,,free,urban,urban,urban,urban,bachelor,bachelor,bachelor,bachelor,level1,level1,level1,probation,13.0,17.0,28.0,1.0,cauc,cauc,cauc,cauc,20.0,20.0,20.0,20.0,48.0,48.0,48.0,48.0
28455,male,afam,1978 Q4,,,regular,regular,,,535.0,575.0,,,568.0,570.0,,,free,free,,,inner-city,inner-city,,,,bachelor,,,,probation,,,,0.0,,,,cauc,,,11.0,11.0,,,28.0,28.0
28475,male,cauc,1980 Q3,regular,,,,400.0,,,,449.0,,,,free,,,,rural,,,,bachelor,,,,apprentice,,,,1.0,,,,cauc,,,,40.0,,,,76.0,,,
28486,female,cauc,1978 Q4,regular+aide,regular,regular,regular,416.0,472.0,554.0,550.0,478.0,510.0,561.0,571.0,non-free,non-free,non-free,non-free,rural,rural,rural,rural,master,bachelor,bachelor,bachelor,level1,level1,level1,level1,5.0,6.0,12.0,14.0,cauc,cauc,cauc,cauc,12.0,12.0,12.0,12.0,34.0,34.0,34.0,34.0
28508,male,afam,1980 Q2,regular,regular,regular,,443.0,450.0,566.0,,520.0,493.0,570.0,,free,free,free,,inner-city,inner-city,inner-city,,bachelor,master,bachelor,,probation,probation,level1,,0.0,3.0,4.0,,cauc,cauc,cauc,,11.0,11.0,11.0,,31.0,19.0,19.0,
28521,female,afam,1980 Q3,regular,,,,405.0,,,,449.0,,,,free,,,,inner-city,,,,bachelor,,,,,,,,9.0,,,,afam,,,,11.0,,,,28.0,,,
28539,female,afam,1980 Q3,regular+aide,,,,410.0,,,,418.0,,,,non-free,,,,suburban,,,,bachelor,,,,level1,,,,5.0,,,,afam,,,,22.0,,,,51.0,,,
28555,female,afam,1980 Q3,,,small,small,,,575.0,631.0,,,528.0,599.0,,,non-free,non-free,,,suburban,suburban,,,bachelor,bachelor,,,level1,level1,,,27.0,23.0,,,afam,cauc,,,22.0,22.0,,,52.0,52.0
28573,male,afam,1979 Q2,,regular+aide,,,,536.0,,,,518.0,,,,free,,,,inner-city,,,,bachelor,,,,level1,,,,7.0,,,,cauc,,,,22.0,,,,53.0,,
28592,female,cauc,1979 Q1,,,regular,regular,,,,573.0,,,,599.0,,,non-free,free,,,rural,rural,,,master,master,,,level3,notladder,,,18.0,17.0,,,cauc,cauc,,,12.0,12.0,,,35.0,35.0
28600,female,cauc,1978 Q4,small,small,,,,421.0,,,,436.0,,,free,free,,,rural,rural,,,bachelor,bachelor,,,,level1,,,6.0,12.0,,,cauc,afam,,,21.0,21.0,,,50.0,50.0,,
28622,female,afam,1980 Q2,,regular,regular,regular+aide,,512.0,573.0,633.0,,502.0,572.0,631.0,,free,free,free,,inner-city,inner-city,inner-city,,master,bachelor,master,,level1,probation,level3,,21.0,2.0,23.0,,cauc,cauc,afam,,11.0,11.0,11.0,,14.0,14.0,16.0
28630,female,cauc,1979 Q4,regular,regular+aide,regular+aide,regular+aide,436.0,472.0,575.0,588.0,484.0,510.0,559.0,608.0,non-free,non-free,non-free,non-free,rural,rural,rural,rural,bachelor,bachelor,master,master,level1,level1,level2,level1,13.0,3.0,11.0,4.0,,cauc,cauc,cauc,23.0,23.0,23.0,23.0,55.0,55.0,55.0,55.0
28656,female,cauc,1980 Q1,small,,,small,437.0,,,650.0,513.0,,,672.0,free,,,free,rural,,,rural,bachelor,,,bachelor,level1,,,level1,2.0,,,8.0,cauc,,,cauc,37.0,,,37.0,73.0,,,73.0
28664,female,afam,1980 Q4,small,,,,400.0,,,,405.0,,,,free,,,,inner-city,,,,bachelor,,,,,,,,2.0,,,,cauc,,,,11.0,,,,28.0,,,
28681,female,cauc,1980 Q3,regular,regular,regular,regular,402.0,487.0,499.0,,454.0,479.0,517.0,,free,free,free,,rural,rural,rural,rural,bachelor,bachelor,bachelor,master,level1,level1,level1,level1,11.0,4.0,18.0,6.0,cauc,cauc,cauc,cauc,31.0,31.0,31.0,31.0,64.0,64.0,64.0,64.0
28699,female,afam,1979 Q3,,regular,regular,regular,,516.0,536.0,572.0,,523.0,563.0,558.0,,free,free,free,,rural,rural,rural,,bachelor,master,bachelor,,level1,level1,level1,,19.0,19.0,22.0,,cauc,cauc,cauc,,31.0,31.0,31.0,,64.0,64.0,64.0
28721,female,cauc,1980 Q1,small,small,small,small,433.0,651.0,618.0,633.0,494.0,567.0,596.0,642.0,non-free,non-free,,non-free,rural,rural,rural,rural,bachelor,bachelor,bachelor,bachelor,level1,level1,level1,notladder,19.0,7.0,11.0,31.0,cauc,cauc,cauc,cauc,31.0,31.0,31.0,31.0,64.0,64.0,64.0,64.0
28729,female,cauc,1980 Q3,regular+aide,,,,424.0,,,,520.0,,,,non-free,,,,suburban,,,,master+,,,,level1,,,,12.0,,,,cauc,,,,22.0,,,,51.0,,,
28742,female,afam,1979 Q4,,,,regular,,,,647.0,,,,667.0,,,,non-free,,,,suburban,,,,master,,,,level1,,,,26.0,,,,cauc,,,,11.0,,,,23.0
28769,male,afam,1980 Q1,regular+aide,small,small,small,408.0,475.0,523.0,595.0,439.0,523.0,554.0,582.0,free,free,non-free,free,suburban,suburban,suburban,suburban,bachelor,master,bachelor,master,,probation,level1,level1,12.0,32.0,7.0,9.0,afam,afam,afam,cauc,11.0,11.0,11.0,11.0,20.0,20.0,20.0,20.0
28783,male,afam,1978 Q1,,,small,small,,,538.0,583.0,,,535.0,593.0,,,free,free,,,inner-city,inner-city,,,bachelor,master,,,level1,level3,,,8.0,21.0,,,afam,afam,,,11.0,11.0,,,19.0,19.0
28791,male,cauc,1979 Q4,regular,,,,416.0,,,,489.0,,,,free,,,,rural,,,,master,,,,level1,,,,8.0,,,,cauc,,,,41.0,,,,78.0,,,
28811,male,cauc,1980 Q3,small,regular+aide,regular+aide,regular+aide,422.0,540.0,611.0,629.0,494.0,529.0,563.0,626.0,non-free,non-free,non-free,non-free,rural,rural,rural,rural,bachelor,bachelor,bachelor,master,level1,level1,level1,level1,12.0,21.0,14.0,9.0,cauc,cauc,cauc,cauc,41.0,41.0,41.0,41.0,79.0,79.0,79.0,79.0
28824,female,afam,1979 Q4,,,regular+aide,regular+aide,,,536.0,573.0,,,554.0,608.0,,,free,free,,,urban,urban,,,bachelor,master,,,level2,level1,,,12.0,19.0,,,cauc,cauc,,,2.0,2.0,,,2.0,2.0
28841,female,afam,1980 Q3,regular+aide,,,,424.0,,,,528.0,,,,free,,,,inner-city,,,,bachelor,,,,apprentice,,,,1.0,,,,cauc,,,,11.0,,,,19.0,,,
28861,male,afam,1980 Q2,,regular+aide,regular+aide,regular+aide,,480.0,530.0,587.0,,472.0,572.0,568.0,,non-free,non-free,non-free,,inner-city,inner-city,inner-city,,bachelor,bachelor,bachelor,,notladder,level1,level1,,36.0,31.0,18.0,,afam,afam,afam,,11.0,11.0,11.0,,33.0,33.0,33.0
28876,male,afam,1980 Q2,,,regular,,,,575.0,,,,603.0,,,,free,,,,inner-city,,,,bachelor,,,,apprentice,,,,1.0,,,,cauc,,,,18.0,,,,45.0,
28891,male,cauc,1980 Q3,regular+aide,,,,,,,,,,,,non-free,,,,suburban,,,,bachelor,,,,,,,,2.0,,,,cauc,,,,11.0,,,,25.0,,,
28907,female,afam,1980 Q3,,,,regular+aide,,,,612.0,,,,596.0,,,,non-free,,,,suburban,,,,master,,,,level2,,,,28.0,,,,cauc,,,,11.0,,,,20.0
28918,female,cauc,1979 Q4,small,small,small,small,580.0,629.0,684.0,686.0,500.0,529.0,603.0,663.0,non-free,non-free,non-free,,rural,rural,rural,rural,bachelor,master,bachelor,bachelor,level1,level1,level3,level1,8.0,9.0,12.0,21.0,cauc,cauc,cauc,cauc,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0
28940,male,cauc,1980 Q2,regular,regular+aide,,,397.0,,,,429.0,,,,free,free,,,rural,rural,,,bachelor,bachelor,,,level1,level1,,,8.0,14.0,,,cauc,afam,,,36.0,36.0,,,72.0,72.0,,
28954,male,cauc,1980 Q3,small,small,small,,460.0,604.0,599.0,,576.0,612.0,674.0,,non-free,non-free,non-free,,rural,rural,rural,,master,master,master,,level1,level1,level1,,6.0,12.0,14.0,,cauc,cauc,cauc,,36.0,36.0,36.0,,72.0,72.0,72.0,
28977,female,cauc,1980 Q1,regular,small,,,398.0,472.0,,,463.0,510.0,,,free,free,,,rural,rural,,,bachelor,bachelor,,,level1,apprentice,,,13.0,2.0,,,,cauc,,,23.0,23.0,,,55.0,55.0,,
28992,male,afam,1980 Q1,regular,regular+aide,regular+aide,,416.0,505.0,579.0,,463.0,488.0,561.0,,free,free,free,,inner-city,inner-city,inner-city,,master+,master,master,,level1,level1,level3,,8.0,4.0,16.0,,cauc,cauc,cauc,,11.0,11.0,11.0,,16.0,16.0,16.0,
29000,male,cauc,1979 Q4,regular,,,,487.0,,,,489.0,,,,non-free,,,,suburban,,,,master+,,,,level1,,,,13.0,,,,cauc,,,,22.0,,,,51.0,,,
29026,female,cauc,,,regular,,,,,,,,,,,,non-free,,,,rural,,,,master,,,,level1,,,,11.0,,,,cauc,,,,24.0,,,,57.0,,
29031,female,cauc,1979 Q4,,small,small,small,,527.0,571.0,588.0,,500.0,563.0,561.0,,non-free,non-free,non-free,,rural,rural,rural,,bachelor,bachelor,bachelor,,level1,level1,notladder,,8.0,16.0,6.0,,cauc,cauc,cauc,,3.0,3.0,3.0,,3.0,3.0,3.0
29055,male,cauc,1979 Q1,,regular+aide,regular+aide,regular+aide,,438.0,518.0,,,484.0,500.0,,,non-free,free,free,,rural,rural,rural,,master,phd,master,,notladder,level1,level1,,11.0,15.0,8.0,,cauc,cauc,cauc,,41.0,41.0,41.0,,78.0,78.0,78.0
29071,female,cauc,1980 Q1,regular,regular+aide,,,419.0,516.0,,,434.0,486.0,,,non-free,free,,,urban,urban,,,bachelor,bachelor,,,level1,level1,,,5.0,22.0,,,cauc,cauc,,,13.0,13.0,,,37.0,37.0,,
29087,female,cauc,1980 Q1,regular+aide,regular,,,447.0,501.0,,,500.0,526.0,,,non-free,non-free,,,urban,urban,,,bachelor,bachelor,,,,apprentice,,,11.0,1.0,,,cauc,cauc,,,13.0,13.0,,,37.0,37.0,,
29105,male,afam,1980 Q1,regular+aide,regular+aide,regular+aide,regular+aide,424.0,495.0,575.0,,459.0,512.0,570.0,,free,free,free,free,inner-city,inner-city,inner-city,inner-city,bachelor,master,bachelor,master,level1,level1,level1,level3,5.0,6.0,4.0,12.0,afam,afam,cauc,cauc,11.0,11.0,11.0,11.0,28.0,28.0,28.0,28.0
29116,female,cauc,1979 Q2,,,regular+aide,regular+aide,,,560.0,572.0,,,540.0,567.0,,,non-free,non-free,,,suburban,suburban,,,bachelor,master,,,level1,level1,,,12.0,18.0,,,afam,cauc,,,11.0,11.0,,,17.0,17.0
29132,female,cauc,1979 Q2,,,small,small,,,,580.0,,,,585.0,,,free,free,,,rural,rural,,,master,bachelor,,,level2,level1,,,28.0,36.0,,,cauc,cauc,,,16.0,16.0,,,40.0,40.0
29143,female,cauc,1979 Q4,regular,small,small,small,,553.0,596.0,614.0,,535.0,590.0,629.0,non-free,non-free,non-free,non-free,rural,rural,rural,rural,bachelor,master,bachelor,bachelor,level1,level1,level1,level1,10.0,8.0,20.0,20.0,cauc,cauc,cauc,cauc,30.0,30.0,30.0,30.0,63.0,63.0,63.0,63.0
29166,male,afam,1980 Q2,,regular+aide,regular+aide,regular+aide,,516.0,586.0,599.0,,505.0,563.0,601.0,,free,free,free,,inner-city,inner-city,inner-city,,master,bachelor,bachelor,,level1,notladder,level1,,7.0,6.0,5.0,,cauc,cauc,cauc,,11.0,11.0,11.0,,33.0,33.0,33.0
29181,male,cauc,1979 Q2,,regular,regular,regular,,,533.0,545.0,,510.0,,561.0,,non-free,,free,,rural,rural,rural,,bachelor,master,master,,level1,level3,level2,,4.0,22.0,14.0,,cauc,cauc,cauc,,36.0,36.0,36.0,,71.0,71.0,71.0
29195,male,cauc,1980 Q3,regular,regular+aide,regular+aide,regular+aide,414.0,540.0,599.0,636.0,484.0,515.0,603.0,626.0,free,free,free,free,urban,urban,urban,urban,master,bachelor,bachelor,master,level1,level1,level2,level1,6.0,7.0,12.0,19.0,cauc,afam,cauc,cauc,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
29215,female,cauc,1980 Q1,small,small,small,small,465.0,564.0,575.0,608.0,520.0,562.0,596.0,622.0,non-free,non-free,non-free,non-free,urban,urban,urban,urban,master,bachelor,master,bachelor,level1,level1,level1,level1,14.0,5.0,9.0,13.0,cauc,cauc,afam,cauc,26.0,26.0,26.0,26.0,59.0,59.0,59.0,59.0
29223,female,cauc,1979 Q4,small,,,,418.0,,,,484.0,,,,free,,,,urban,,,,bachelor,,,,level1,,,,11.0,,,,cauc,,,,27.0,,,,60.0,,,
29249,male,cauc,1980 Q1,,small,small,small,,468.0,552.0,565.0,,545.0,522.0,603.0,,non-free,non-free,non-free,,rural,rural,rural,,master,bachelor,bachelor,,apprentice,level1,level3,,1.0,32.0,17.0,,cauc,cauc,cauc,,31.0,31.0,31.0,,64.0,64.0,64.0
29257,female,cauc,1979 Q3,small,small,small,small,440.0,530.0,596.0,624.0,468.0,526.0,563.0,597.0,non-free,non-free,non-free,non-free,urban,urban,urban,urban,bachelor,bachelor,master,bachelor,level1,level1,level1,level1,11.0,5.0,9.0,13.0,cauc,cauc,afam,cauc,26.0,26.0,26.0,26.0,59.0,59.0,59.0,59.0
29271,male,cauc,1979 Q4,,,small,small,,,577.0,618.0,,,568.0,616.0,,,free,free,,,urban,urban,,,master,bachelor,,,level1,level1,,,14.0,36.0,,,cauc,cauc,,,7.0,7.0,,,10.0,10.0
29297,female,afam,1980 Q1,regular,regular,regular,regular,434.0,472.0,541.0,604.0,459.0,507.0,541.0,624.0,free,free,free,free,inner-city,inner-city,inner-city,inner-city,master,master,master,master,level1,notladder,level1,level1,15.0,3.0,30.0,22.0,afam,cauc,afam,cauc,11.0,11.0,11.0,11.0,26.0,26.0,26.0,26.0
29308,male,cauc,1980 Q2,regular+aide,regular+aide,regular+aide,regular+aide,433.0,524.0,545.0,599.0,528.0,545.0,593.0,636.0,free,non-free,non-free,non-free,rural,rural,rural,rural,bachelor,bachelor,bachelor,bachelor,level1,apprentice,notladder,probation,15.0,2.0,19.0,0.0,cauc,cauc,cauc,cauc,19.0,19.0,19.0,19.0,47.0,47.0,47.0,47.0
29320,male,cauc,1979 Q4,small,small,small,small,467.0,604.0,622.0,631.0,576.0,653.0,699.0,691.0,non-free,non-free,non-free,non-free,suburban,suburban,suburban,suburban,master,bachelor,master,bachelor,probation,level1,apprentice,level1,8.0,18.0,15.0,5.0,cauc,cauc,afam,cauc,17.0,17.0,17.0,17.0,41.0,41.0,41.0,41.0
29340,female,cauc,1980 Q2,regular+aide,regular+aide,regular+aide,regular+aide,430.0,533.0,588.0,578.0,459.0,490.0,550.0,588.0,non-free,non-free,non-free,non-free,suburban,suburban,suburban,suburban,bachelor,bachelor,master,master,level1,probation,level1,level1,7.0,4.0,19.0,19.0,cauc,cauc,cauc,afam,22.0,22.0,22.0,22.0,54.0,54.0,54.0,54.0
